name,unit,category,brand,stock,status,image
Laptop Stand,piece,Electronics,ProLift,15,In Stock,
USB Mouse Wireless,piece,Electronics,Logitech,50,In Stock,
Water Bottle 1L,piece,Cafeteria,Cello,80,In Stock,
Notebook Hardbound,piece,Stationery,Classmate,500,In Stock,
Desk Organizer,piece,Office Supplies,Neelkamal,20,In Stock,
Whiteboard Marker Black,piece,Stationery,Camlin,75,In Stock,
A4 Paper Pack,pack,Stationery,JK Paper,120,In Stock,
Ballpoint Pen Blue,piece,Stationery,Reynolds,350,In Stock,
External Hard Drive 1TB,piece,Electronics,Seagate,12,In Stock,
Printer Ink Black,bottle,Electronics,HP,25,In Stock,
Floor Cleaner 1L,bottle,Cleaning,Lizol,30,In Stock,
Tissue Paper Box,box,Hygiene,Origami,120,In Stock,
Hand Sanitizer 250ml,bottle,Hygiene,Dettol,60,In Stock,
Coffee Powder 200g,pack,Cafeteria,Bru,25,In Stock,
HDMI Cable 1m,piece,Electronics,AmazonBasics,22,In Stock,
USB Type-C Cable,piece,Electronics,Mi,55,In Stock,
Sticky Notes 3x3,pad,Stationery,Post-It,100,In Stock,
Glass Cleaner 250ml,bottle,Cleaning,CleanIt,35,In Stock,
Scissors Small,piece,Stationery,Camlin,30,In Stock,
Handwash Bottle 500ml,bottle,Hygiene,Dettol,48,In Stock,
